trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
568,False,"{'a': 0.25, 'e': 0.058010934765067}",30,16,11.945621040479624,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
569,False,"{'a': 0.25, 'e': 0.05772088009124167}",20,9,16.44414597165065,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
570,False,"{'a': 0.25, 'e': 0.05743227569078546}",20,8,20.52081502544269,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
571,False,"{'a': 0.25, 'e': 0.05714511431233153}",30,12,20.38226995352729,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
572,False,"{'a': 0.25, 'e': 0.05685938874076987}",20,9,19.595051348906335,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
573,False,"{'a': 0.25, 'e': 0.056575091797066025}",25,13,14.724292608527668,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
574,False,"{'a': 0.25, 'e': 0.056292216338080694}",20,3,10.727756733496523,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
575,False,"{'a': 0.25, 'e': 0.05601075525639029}",30,24,9.621885673387194,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
576,False,"{'a': 0.25, 'e': 0.05573070148010834}",30,18,-27.761674186710295,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
577,False,"{'a': 0.25, 'e': 0.0554520479727078}",20,13,13.280769820694712,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
578,False,"{'a': 0.25, 'e': 0.05517478773284426}",30,21,17.76577189804295,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
579,False,"{'a': 0.25, 'e': 0.05489891379418004}",20,12,12.806086050674145,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
580,False,"{'a': 0.25, 'e': 0.05462441922520914}",20,6,16.85473764401034,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
581,False,"{'a': 0.25, 'e': 0.0543512971290831}",25,3,34.245088659027935,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
582,False,"{'a': 0.25, 'e': 0.05407954064343768}",25,5,30.349965889933376,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
